"CUISINECODE","VIOLATIONCODE","VIOLATIONDESC","A","B","D","C","ratio","CODEDESC"
"17","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",224,16100,520720,5960,1.21557046979866,"Caribbean"
"03","20E","Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.",139,125458,520720,476,1.21203105100224,"American "
"55","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",255,18419,520720,5960,1.20957313191696,"Mexican"
"17","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",186,16100,520720,4979,1.20822884687114,"Caribbean"
"03","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",1375,125458,520720,4726,1.20757713015854,"American "
"35","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",537,7409,520720,31331,1.20460508701842,"French"
"05","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",166,7654,520720,9381,1.20385658517805,"Asian"
"62","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",348,25687,520720,5860,1.20385034275183,"Pizza"
"53","09C","Food contact surface not properly maintained.",410,26063,520720,6806,1.20357114295343,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"29","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",451,6303,520720,30966,1.20322925814373,"Donuts"
"62","20F","Current letter grade card not posted.",224,25687,520720,3775,1.2028789783891,"Pizza"
"35","09C","Food contact surface not properly maintained.",116,7409,520720,6806,1.19787281291384,"French"
"48","09C","Food contact surface not properly maintained.",401,25637,520720,6806,1.19671155106585,"Italian"
"67","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",178,2023,520720,38306,1.19608370496457,"Russian"
"70","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",220,3057,520720,31331,1.19607178063612,"Sandwiches/Salads/Mixed Buffet"
"18","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1134,7442,520720,66420,1.19461723507318,"Chicken"
"47","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",218,4422,520720,21508,1.19355376228903,"Irish"
"39","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",803,7663,520720,45819,1.19090020982738,"Hamburgers"
"08","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1825,16100,520720,49564,1.19089892433448,"Bakery"
"30","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",132,1507,520720,38306,1.1906884286771,"Eastern European"
"53","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",143,26063,520720,2400,1.19043215797619,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"14","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",1556,14860,520720,45819,1.19000677867683,"Caf/Coffee/Tea"
"62","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",550,25687,520720,9381,1.18851434076494,"Pizza"
"77","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",175,13090,520720,5860,1.18796882699713,"Spanish"
"70","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",150,3057,520720,21508,1.18795516760498,"Sandwiches/Salads/Mixed Buffet"
"49","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",135,18374,520720,3221,1.18780073634413,"Japanese"
"07","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",554,3657,520720,66420,1.18765469974756,"Bagels/Pretzels"
"77","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",174,13090,520720,5852,1.182795171135,"Spanish"
"55","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",245,18419,520720,5860,1.18197061314672,"Mexican"
"05","02B","Hot food item not held at or above 140º F.",426,7654,520720,24523,1.18182126896524,"Asian"
"81","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",163,2836,520720,25370,1.17968258768811,"Tex-Mex"
"27","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",127,9590,520720,5852,1.17837916432944,"Delicatessen"
"35","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",768,7409,520720,45819,1.17804065172541,"French"
"70","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",214,3057,520720,30966,1.17716538685385,"Sandwiches/Salads/Mixed Buffet"
"05","04M","Live roaches present in facility's food and/or non-food areas.",252,7654,520720,14568,1.17683725579415,"Asian"
"08","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",117,16100,520720,3221,1.17482591919102,"Bakery"
"62","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",139,25687,520720,2400,1.17407119035569,"Pizza"
"08","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1390,16100,520720,38306,1.17361696414586,"Bakery"
"44","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",253,8170,520720,13741,1.17350348468881,"Indian"
"52","06F","Wiping cloths soiled or not stored in sanitizing solution.",157,6957,520720,10016,1.17324197340027,"Korean"
"12","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",114,1021,520720,49564,1.17305133872164,"Bottled beverages, including water, sodas, juices, etc."
"50","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",159,7532,520720,9381,1.17176881463946,"Jewish/Kosher"
"03","20F","Current letter grade card not posted.",1065,125458,520720,3775,1.17095053789142,"American "
"61","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",210,1886,520720,49564,1.16981050368974,"Peruvian"
"50","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",648,7532,520720,38306,1.16950517729065,"Jewish/Kosher"
"77","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",175,13090,520720,5960,1.16803646412805,"Spanish"
"48","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",1801,25637,520720,31331,1.16755275074053,"Italian"
"43","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",314,3670,520720,38306,1.16305710319781,"Ice Cream, Gelato, Yogurt, Ices"
"48","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",911,25637,520720,15954,1.15980731727796,"Italian"
"07","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",311,3657,520720,38306,1.15604005743882,"Bagels/Pretzels"
"84","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",136,1958,520720,31331,1.1543997468266,"Vegetarian"
"54","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",234,4169,520720,25370,1.15204051753879,"Mediterranean"
"38","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",177,2555,520720,31331,1.15136325157911,"Greek"
"44","02B","Hot food item not held at or above 140º F.",443,8170,520720,24523,1.15136316213226,"Indian"
"17","20F","Current letter grade card not posted.",134,16100,520720,3775,1.14806433301798,"Caribbean"
"81","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",239,2836,520720,38306,1.14558977492285,"Tex-Mex"
"39","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",522,7663,520720,30966,1.14548874536923,"Hamburgers"
"35","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",260,7409,520720,15954,1.14537691056821,"French"
"51","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",385,2638,520720,66420,1.14417202633824,"Juice, Smoothies, Fruit Salads"
"51","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",181,2638,520720,31331,1.14033849584092,"Juice, Smoothies, Fruit Salads"
"67","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",137,2023,520720,30966,1.1387904945992,"Russian"
"38","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",120,2555,520720,21508,1.13708929858894,"Greek"
"48","09A","Canned food product observed dented and not segregated from other consumable food items.",153,25637,520720,2734,1.13665842611174,"Italian"
"03","20A","Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.",242,125458,520720,884,1.13623718893071,"American "
"83","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",153,1533,520720,45819,1.13424775414911,"Turkish"
"27","09C","Food contact surface not properly maintained.",142,9590,520720,6806,1.13287515125739,"Delicatessen"
"39","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",522,7663,520720,31331,1.13214402633505,"Hamburgers"
"52","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",473,6957,520720,31331,1.12997579155094,"Korean"
"03","16A","A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",249,125458,520720,916,1.12826150834869,"American "
"47","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",367,4422,520720,38306,1.12819658347384,"Irish"
"07","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",201,3657,520720,25370,1.12811893411472,"Bagels/Pretzels"
"99","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",270,1881,520720,66420,1.12533118951604,"Other"
"20","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",1234,60880,520720,9381,1.12511169373721,"Chinese"
"49","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1007,18374,520720,25370,1.12488868887628,"Japanese"
"55","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",131,18419,520720,3306,1.1202286021559,"Mexican"
"38","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",139,2555,520720,25370,1.11662587443604,"Greek"
"29","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",215,6303,520720,15954,1.11333490098487,"Donuts"
"48","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2509,25637,520720,45819,1.11222361013671,"Italian"
"62","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",194,25687,520720,3536,1.11219348414176,"Pizza"
"61","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",102,1886,520720,25370,1.11004931886134,"Peruvian"
"39","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",153,7663,520720,9381,1.10827548771501,"Hamburgers"
"53","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",244,26063,520720,4401,1.10769019709579,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"14","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",139,14860,520720,4401,1.10674834393138,"Caf/Coffee/Tea"
"63","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",866,10645,520720,38306,1.10588426925872,"Pizza/Italian"
"17","04M","Live roaches present in facility's food and/or non-food areas.",498,16100,520720,14568,1.10562485290657,"Caribbean"
"44","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",664,8170,520720,38306,1.1047995203988,"Indian"
"03","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",5725,125458,520720,21508,1.1047941395359,"American "
"20","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",6397,60880,520720,49564,1.10392512326409,"Chinese"
"48","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",175,25637,520720,3221,1.10353059674392,"Italian"
"77","09B","Thawing procedures improper.",121,13090,520720,4364,1.10297391183788,"Spanish"
"53","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",329,26063,520720,5960,1.10288312753789,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"44","06F","Wiping cloths soiled or not stored in sanitizing solution.",173,8170,520720,10016,1.10086480969494,"Indian"
"78","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",174,1797,520720,45819,1.10042341606833,"Steak"
"05","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",410,7654,520720,25370,1.09945938340932,"Asian"
"20","10I","Single service item reused, improperly stored, dispensed; not used when required.",501,60880,520720,3898,1.09932348473458,"Chinese"
"47","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",292,4422,520720,31331,1.09747368380633,"Irish"
"49","04M","Live roaches present in facility's food and/or non-food areas.",564,18374,520720,14568,1.09718463648135,"Japanese"
"20","09C","Food contact surface not properly maintained.",872,60880,520720,6806,1.0958576783336,"Chinese"
"67","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",108,2023,520720,25370,1.0957504660145,"Russian"
"05","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",101,7654,520720,6272,1.09554727953371,"Asian"
"39","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",798,7663,520720,49564,1.09406210594331,"Hamburgers"
"47","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",460,4422,520720,49564,1.09289138784548,"Irish"
"03","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",8246,125458,520720,31331,1.09238309959054,"American "
"18","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",489,7442,520720,31331,1.09206677758597,"Chicken"
"35","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",481,7409,520720,30966,1.09170331905089,"French"
"07","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",380,3657,520720,49564,1.09168299775298,"Bagels/Pretzels"
"55","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",830,18419,520720,21508,1.09097870905615,"Mexican"
"52","10H","Proper sanitization not provided for utensil ware washing operation.",127,6957,520720,8727,1.0892335258746,"Korean"
"62","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",337,25687,520720,6272,1.0892177850624,"Pizza"
"44","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",107,8170,520720,6272,1.08732639322559,"Indian"
"77","04M","Live roaches present in facility's food and/or non-food areas.",398,13090,520720,14568,1.08679529921898,"Spanish"
"35","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",145,7409,520720,9381,1.08633439461299,"French"
"55","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",169,18419,520720,4401,1.08560927898921,"Mexican"
"05","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",731,7654,520720,45819,1.08539438646104,"Asian"
"49","10H","Proper sanitization not provided for utensil ware washing operation.",334,18374,520720,8727,1.08463106100635,"Japanese"
"03","02A","Food not cooked to required minimum temperature.",130,125458,520720,498,1.08347752789602,"American "
"83","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",158,1533,520720,49564,1.08281145706674,"Turkish"
"54","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",271,4169,520720,31331,1.08035726733318,"Mediterranean"
"77","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",584,13090,520720,21508,1.08013348880222,"Spanish"
"50","02B","Hot food item not held at or above 140º F.",383,7532,520720,24523,1.0797398321742,"Jewish/Kosher"
"77","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",135,13090,520720,4979,1.07858966406041,"Spanish"
"18","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",764,7442,520720,49564,1.07855327805413,"Chicken"
"53","04A","Food Protection Certificate not held by supervisor of food operations.",500,26063,520720,9264,1.07832906806061,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"48","10J","""""Wash hands” sign not posted at hand wash facility.",131,25637,520720,2472,1.07636578554484,"Italian"
"05","10H","Proper sanitization not provided for utensil ware washing operation.",138,7654,520720,8727,1.07579596510941,"Asian"
"22","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",103,1303,520720,38306,1.07455899316082,"Chinese/Japanese"
"50","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",394,7532,520720,25370,1.07366723946034,"Jewish/Kosher"
"55","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",189,18419,520720,4979,1.07314372026554,"Mexican"
"03","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",1513,125458,520720,5852,1.07310077666272,"American "
"14","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",287,14860,520720,9381,1.07205782198003,"Caf/Coffee/Tea"
"53","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",267,26063,520720,4979,1.07139345647684,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"47","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",604,4422,520720,66420,1.07083753987447,"Irish"
"08","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",310,16100,520720,9381,1.06878645286065,"Bakery"
"56","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",213,3313,520720,31331,1.06853356654938,"Middle Eastern"
"27","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",499,9590,520720,25370,1.06798641831858,"Delicatessen"
"08","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",206,16100,520720,6240,1.06772893772894,"Bakery"
"12","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",139,1021,520720,66420,1.06731950331801,"Bottled beverages, including water, sodas, juices, etc."
"30","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",153,1507,520720,49564,1.06663563473221,"Eastern European"
"55","10H","Proper sanitization not provided for utensil ware washing operation.",329,18419,520720,8727,1.06578384413846,"Mexican"
"51","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",116,2638,520720,21508,1.06460237021667,"Juice, Smoothies, Fruit Salads"
"03","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",1527,125458,520720,5960,1.06340494602274,"American "
"82","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",131,6843,520720,9381,1.06262463064605,"Thai"
"50","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",761,7532,520720,49564,1.06148107514521,"Jewish/Kosher"
"50","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",481,7532,520720,31331,1.06136501198983,"Jewish/Kosher"
"48","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",490,25637,520720,9381,1.06092332863385,"Italian"
"63","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",136,10645,520720,6272,1.0606972709234,"Pizza/Italian"
"53","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2629,26063,520720,49564,1.05975162775578,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"10","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",108,799,520720,66420,1.05969860699859,"Barbecue"
"05","09C","Food contact surface not properly maintained.",106,7654,520720,6806,1.0595701651527,"Asian"
"55","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",235,18419,520720,6272,1.05925378186456,"Mexican"
"03","04O","Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.",138,125458,520720,541,1.05873609593525,"American "
"63","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",670,10645,520720,30966,1.05839623433413,"Pizza/Italian"
"53","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",310,26063,520720,5852,1.05836929282952,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"55","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",1714,18419,520720,45819,1.05755611741767,"Mexican"
"69","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",124,6510,520720,9381,1.05729412541053,"Sandwiches"
"62","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2578,25687,520720,49564,1.05440495349211,"Pizza"
"20","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",5646,60880,520720,45819,1.05396182814863,"Chinese"
"20","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",4718,60880,520720,38306,1.05346654195453,"Chinese"
"07","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",229,3657,520720,30966,1.05300315176272,"Bagels/Pretzels"
"48","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1314,25637,520720,25370,1.05199082751853,"Italian"
"29","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",323,6303,520720,25370,1.05181414384889,"Donuts"
"84","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",196,1958,520720,49564,1.05167437995995,"Vegetarian"
"63","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",985,10645,520720,45819,1.05159670531989,"Pizza/Italian"
"62","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",309,25687,520720,5960,1.05100091107115,"Pizza"
"53","10J","""""Wash hands” sign not posted at hand wash facility.",130,26063,520720,2472,1.05069034243264,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"44","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",817,8170,520720,49564,1.05060124283754,"Indian"
"14","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",937,14860,520720,31331,1.04797466447453,"Caf/Coffee/Tea"
"07","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",158,3657,520720,21508,1.04601125455147,"Bagels/Pretzels"
